Epoch [D]           RV [km/s]            RV_err [km/s]           InstrumentID
532.59156960        61.07336014          0.18245005              0
533.37124160        61.07391929          0.19196757              0
533.48253410        61.09433192          0.50332323              0
533.58892420        60.90641867          0.17709969              0
534.60593470        60.84707422          0.16901216              0
534.64478370        60.76442816          0.27137532              0
534.64900780        60.72894423          0.41391109              0
537.48396460        59.77214845          0.09051783              0
537.59596740        59.60861810          0.10693923              0
538.45905980        59.38615305          0.09997633              0
538.59641790        59.25250481          0.09632082              0
539.36269630        59.22602206          0.12093445              0
539.55601180        58.95317226          0.08207498              0
540.47582490        58.80491194          0.06452693              0
540.56908620        58.80957819          0.06503610              0
541.47554620        58.53712348          0.09047176              0
541.56593330        58.47697571          0.12095584              0
542.35560580        58.27384781          0.09792585              0
542.46063140        58.00183145          0.08228008              0
542.57041090        57.85215345          0.09098687              0
543.42002310        57.81769942          0.11149075              0
543.57647540        57.48211017          0.09007323              0
543.60967490        57.48614794          0.06791943              0
544.42021130        57.43281108          0.11258104              0
546.46042320        56.64265505          0.06188521              0
547.46491210        56.33767853          0.20811613              0
548.45494430        55.91602511          0.10281121              0
549.46103850        55.55548841          0.11139477              0
550.41660640        55.15413611          0.11708977              0
552.45516210        54.37943387          0.07660306              0
555.45014750        53.20218152          0.10402142              0
555.53361650        53.12630703          0.09221472              0
555.56562490        53.07321959          0.09914867              0
556.46031010        52.72255729          0.08331723              0
556.53016520        52.76430352          0.11182366              0
557.44722740        52.37940301          0.06502039              0
557.52319580        52.28466455          0.08133770              0
557.55480850        52.34450219          0.09990591              0
558.40852040        51.96922700          0.07227786              0
558.52348330        51.83301107          0.05583612              0
559.44775180        51.58120923          0.08205047              0
560.52681220        51.02204835          0.08476445              0
561.44073560        50.72967726          0.06886113              0
561.52044220        50.78692435          0.11108302              0
563.43935230        50.00270968          0.10061033              0
563.51525700        50.02810172          0.11440413              0
564.50649250        49.63891766          0.15215777              0
567.50400100        48.35222010          0.14525422              0
568.43041900        48.25858537          0.16298960              0
568.50454150        48.14050718          0.12897281              0
569.40559340        47.85900700          0.18018522              0
569.51327580        47.94618703          0.17735262              0
570.40961700        47.49158955          0.10269481              0
570.50264500        47.40998997          0.34980330              0
571.50818230        46.91065743          0.15522789              0
572.48884220        46.55915773          0.08142377              0
573.48729520        46.12838016          0.10479041              0
574.48759170        45.85059303          0.09528081              0
575.47116120        45.43184303          0.14535892              0
576.46800350        45.08870355          0.08899707              0
577.46091930        44.87339427          0.09770920              0
577.51774450        44.90366000          0.10473407              0
578.47455160        44.42201990          0.07373538              0
579.70628980        44.20329635          0.10566306              0
580.74430380        43.89630168          0.11575336              0
581.70931440        43.60427232          0.11692764              0
582.69722500        43.28092474          0.17521514              0
583.69406470        42.93950589          0.13659520              0
584.69136960        42.49590117          0.13273362              0
585.70169490        42.27410555          0.14004199              0
586.72122600        41.89112555          0.11399643              0
587.71361580        41.62588587          0.09496332              0
588.71332690        41.36016816          0.17467524              0
592.71926120        40.26071946          0.11895348              0
593.72134990        39.86897956          0.09858521              0
594.72375310        39.57613475          0.12104496              0
595.61982560        39.24267317          0.34273190              0
597.62970000        38.65528955          0.13433152              0
598.62959060        38.31955976          0.10542803              0
599.63064220        38.03149669          0.14540344              0
601.61987430        37.48132625          0.12663130              0
635.66990990        28.85425877          0.18962710              0
636.64733720        28.12347884          0.38843013              0
637.40974370        28.35971361          0.14137504              0
637.63800770        28.24070173          0.16815725              0
638.38059220        28.13451332          0.08543732              0
638.64093670        28.11998533          0.15536360              0
639.39629630        27.81882658          0.09798687              0
639.64070770        27.84561724          0.24529836              0
640.40630260        27.92167552          0.43056302              0
640.64141960        27.90799403          0.17106638              0
641.37348290        27.57237779          0.11432322              0
641.64218150        27.66328120          0.25549354              0
642.64197920        27.17198400          0.18380054              0
644.64088430        26.88447266          0.25505461              0
645.61356320        26.62227116          0.15330230              0
646.36911380        26.40530431          0.12125344              0
646.37361170        26.37691506          0.11837052              0
647.36934950        26.22930804          0.08817362              0
647.37374480        26.19764710          0.09801063              0
648.37424740        26.16368247          0.12701175              0
649.36153810        25.75195529          0.11111145              0
651.39892060        25.35814885          0.06982421              0
653.37410160        24.55112443          0.09211376              0
654.37738880        24.43184132          0.07822289              0
654.38548420        24.48570984          0.14603881              0
656.32483060        24.14205132          0.10347395              0
658.32415070        23.66051806          0.13544298              0
658.36672630        23.77364674          0.18695579              0
658.37118830        23.68253745          0.11598222              0
658.37559830        23.85684558          0.11296506              0
658.38112840        23.90821900          0.11479789              0
659.32233100        23.76983284          0.07837271              0
659.36767980        23.83043239          0.16692861              0
659.37376740        23.78023723          0.08325113              0
660.32203230        23.60054431          0.10842702              0
661.34241470        23.40522668          0.08601335              0
661.36637790        23.39153716          0.09899157              0
661.37080670        23.43410948          0.11778046              0
